,Compound,Negative,Neutral,Positive,Tweets Ago,Username
0,0.0,1.0,0.0,0.0,1,@nytimes
1,0.0,1.0,0.0,0.0,2,@nytimes
2,0.0,1.0,0.0,0.0,3,@nytimes
3,0.5719,0.812,0.0,0.188,4,@nytimes
4,-0.5106,0.708,0.292,0.0,5,@nytimes
5,-0.2732,0.84,0.16,0.0,6,@nytimes
6,0.34,0.696,0.122,0.183,7,@nytimes
7,0.0,0.625,0.187,0.187,8,@nytimes
8,0.5719,0.812,0.0,0.188,9,@nytimes
9,0.0,1.0,0.0,0.0,10,@nytimes
10,0.7227,0.543,0.0,0.457,11,@nytimes
11,-0.9468,0.539,0.461,0.0,12,@nytimes
12,0.0,1.0,0.0,0.0,13,@nytimes
13,0.0516,0.471,0.229,0.3,14,@nytimes
14,0.0,1.0,0.0,0.0,15,@nytimes
15,-0.9468,0.552,0.448,0.0,16,@nytimes
16,-0.5829,0.787,0.213,0.0,17,@nytimes
17,0.0,1.0,0.0,0.0,18,@nytimes
18,0.0,1.0,0.0,0.0,19,@nytimes
19,0.6124,0.739,0.0,0.261,20,@nytimes
20,-0.5859,0.724,0.203,0.072,21,@nytimes
21,0.0,1.0,0.0,0.0,22,@nytimes
22,0.0258,0.916,0.0,0.084,23,@nytimes
23,0.0,1.0,0.0,0.0,24,@nytimes
24,0.4019,0.828,0.0,0.172,25,@nytimes
25,-0.1027,0.931,0.069,0.0,26,@nytimes
26,0.0,1.0,0.0,0.0,27,@nytimes
27,-0.296,0.916,0.084,0.0,28,@nytimes
28,0.0,1.0,0.0,0.0,29,@nytimes
29,0.0,1.0,0.0,0.0,30,@nytimes
30,0.3182,0.897,0.0,0.103,31,@nytimes
31,0.0,1.0,0.0,0.0,32,@nytimes
32,0.0772,0.762,0.112,0.126,33,@nytimes
33,0.4767,0.853,0.0,0.147,34,@nytimes
34,-0.802,0.675,0.325,0.0,35,@nytimes
35,-0.6908,0.783,0.217,0.0,36,@nytimes
36,0.3089,0.876,0.0,0.124,37,@nytimes
37,0.7096,0.772,0.0,0.228,38,@nytimes
38,-0.2263,0.899,0.101,0.0,39,@nytimes
39,0.5859,0.758,0.0,0.242,40,@nytimes
40,0.0772,0.936,0.0,0.064,41,@nytimes
41,-0.0008,0.876,0.062,0.062,42,@nytimes
42,-0.743,0.741,0.259,0.0,43,@nytimes
43,0.0,1.0,0.0,0.0,44,@nytimes
44,-0.296,0.905,0.095,0.0,45,@nytimes
45,0.0,1.0,0.0,0.0,46,@nytimes
46,-0.6124,0.833,0.167,0.0,47,@nytimes
47,-0.296,0.901,0.099,0.0,48,@nytimes
48,0.3291,0.899,0.0,0.101,49,@nytimes
49,-0.2732,0.884,0.116,0.0,50,@nytimes
50,0.0,1.0,0.0,0.0,51,@nytimes
51,0.1027,0.812,0.085,0.103,52,@nytimes
52,-0.4019,0.886,0.114,0.0,53,@nytimes
53,-0.4404,0.667,0.224,0.11,54,@nytimes
54,0.0,1.0,0.0,0.0,55,@nytimes
55,-0.6369,0.811,0.189,0.0,56,@nytimes
56,0.0,1.0,0.0,0.0,57,@nytimes
57,0.6705,0.784,0.0,0.216,58,@nytimes
58,0.6705,0.756,0.0,0.244,59,@nytimes
59,-0.4019,0.803,0.197,0.0,60,@nytimes
60,0.0,1.0,0.0,0.0,61,@nytimes
61,0.6369,0.756,0.0,0.244,62,@nytimes
62,-0.834,0.641,0.359,0.0,63,@nytimes
63,0.4404,0.879,0.0,0.121,64,@nytimes
64,0.2023,0.833,0.0,0.167,65,@nytimes
65,0.6249,0.661,0.0,0.339,66,@nytimes
66,0.0,1.0,0.0,0.0,67,@nytimes
67,-0.4767,0.693,0.307,0.0,68,@nytimes
68,0.0,1.0,0.0,0.0,69,@nytimes
69,0.5574,0.833,0.0,0.167,70,@nytimes
70,0.4215,0.781,0.0,0.219,71,@nytimes
71,0.0,1.0,0.0,0.0,72,@nytimes
72,0.9371,0.493,0.0,0.507,73,@nytimes
73,0.128,0.773,0.103,0.124,74,@nytimes
74,0.0,1.0,0.0,0.0,75,@nytimes
75,0.5423,0.462,0.0,0.538,76,@nytimes
76,-0.6705,0.69,0.31,0.0,77,@nytimes
77,-0.8519,0.491,0.509,0.0,78,@nytimes
78,-0.8225,0.65,0.35,0.0,79,@nytimes
79,0.3612,0.902,0.0,0.098,80,@nytimes
80,-0.5106,0.87,0.13,0.0,81,@nytimes
81,0.296,0.833,0.0,0.167,82,@nytimes
82,-0.8126,0.619,0.381,0.0,83,@nytimes
83,-0.6418,0.832,0.168,0.0,84,@nytimes
84,0.1779,0.779,0.095,0.126,85,@nytimes
85,0.0,1.0,0.0,0.0,86,@nytimes
86,0.2023,0.935,0.0,0.065,87,@nytimes
87,0.0,1.0,0.0,0.0,88,@nytimes
88,-0.7096,0.604,0.396,0.0,89,@nytimes
89,-0.6705,0.836,0.164,0.0,90,@nytimes
90,0.1531,0.736,0.14,0.124,91,@nytimes
91,0.0,1.0,0.0,0.0,92,@nytimes
92,0.4215,0.877,0.0,0.123,93,@nytimes
93,0.3804,0.885,0.0,0.115,94,@nytimes
94,-0.2484,0.883,0.117,0.0,95,@nytimes
95,0.5719,0.866,0.0,0.134,96,@nytimes
96,0.0,1.0,0.0,0.0,97,@nytimes
97,0.4404,0.756,0.0,0.244,98,@nytimes
98,0.0,1.0,0.0,0.0,99,@nytimes
99,0.0,1.0,0.0,0.0,100,@nytimes
